Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
5.960e-01,4.4,0.63
6.000e-01,4.32,0.61
6.040e-01,4.32,0.59
6.080e-01,4.48,0.57
6.120e-01,4.48,0.57
6.160e-01,4.48,0.53
6.200e-01,4.56,0.53
6.240e-01,4.56,0.51
6.280e-01,4.48,0.49
6.320e-01,4.4,0.47
6.360e-01,4.48,0.47
6.400e-01,4.4,0.51
6.440e-01,4.4,0.51
6.480e-01,4.4,0.51
6.520e-01,4.32,0.53
6.560e-01,4.4,0.55
6.600e-01,4.4,0.55
6.640e-01,4.4,0.57
6.680e-01,4.4,0.61
6.720e-01,4.32,0.61
6.760e-01,4.32,0.63
6.800e-01,4.24,0.67
6.840e-01,4.24,0.67
6.880e-01,4.24,0.69
6.920e-01,4.16,0.71
6.960e-01,4.24,0.71
7.000e-01,4.16,0.75
7.040e-01,4.16,0.77
7.080e-01,4.16,0.77
7.120e-01,4.16,0.79
7.160e-01,4.08,0.85
7.200e-01,4,0.85
7.240e-01,4.08,0.85
7.280e-01,4,0.87
7.320e-01,4,0.87
7.360e-01,3.92,0.93
7.400e-01,4,0.91
7.440e-01,3.92,0.93
7.480e-01,3.92,0.95
7.520e-01,4,0.95
7.560e-01,3.92,0.97
7.600e-01,3.92,0.97
7.640e-01,3.92,0.99
7.680e-01,3.84,0.99
7.720e-01,3.84,1.01
7.760e-01,3.76,1.01
7.800e-01,3.84,1.01
7.840e-01,3.84,1.03
7.880e-01,3.76,1.03
7.920e-01,3.76,1.03
7.960e-01,3.76,1.03
8.000e-01,3.68,1.03
8.040e-01,3.6,1.05
8.080e-01,3.68,1.05
8.120e-01,3.6,1.05
8.160e-01,3.68,1.05
8.200e-01,3.6,1.09
8.240e-01,3.6,1.05
8.280e-01,3.52,1.09
8.320e-01,3.6,1.07
8.360e-01,3.52,1.07
8.400e-01,3.52,1.09
8.440e-01,3.44,1.11
8.480e-01,3.52,1.09
8.520e-01,3.52,1.09
8.560e-01,3.36,1.13
8.600e-01,3.44,1.13
8.640e-01,3.44,1.09
8.680e-01,3.36,1.11
8.720e-01,3.36,1.09
8.760e-01,3.36,1.11
8.800e-01,3.36,1.09
8.840e-01,3.36,1.09
8.880e-01,3.36,1.13
8.920e-01,3.2,1.07
8.960e-01,3.28,1.07
9.000e-01,3.28,1.07
9.040e-01,3.2,1.09
