Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
4.120e-01,2.70594,1.12356
4.140e-01,2.69656,1.12331
4.160e-01,2.68531,1.12419
4.180e-01,2.67594,1.12325
4.200e-01,2.6625,1.12325
4.220e-01,2.65031,1.12316
4.240e-01,2.63844,1.12425
4.260e-01,2.625,1.12497
4.280e-01,2.615,1.12403
4.300e-01,2.60656,1.12409
4.320e-01,2.595,1.12316
4.340e-01,2.58469,1.12472
4.360e-01,2.57563,1.12459
4.380e-01,2.56781,1.12581
4.400e-01,2.5575,1.12456
4.420e-01,2.54906,1.12575
4.440e-01,2.53875,1.12556
4.460e-01,2.52875,1.12769
4.480e-01,2.52031,1.12622
